,,,,,,,,,,,,
Year,Primary production,Secondary production,New scrap,Refinery scrap,Imports,Exports,Stocks,Consumption,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production
1962,"1,460,000","377,000","459,000","263,000","118,000","305,000","1,170,000","1,450,000","1,640,000",683,"3,670","4,220,000"
1963,"1,450,000","383,000","501,000","365,000","111,000","283,000","1,120,000","1,580,000","1,710,000",683,"3,640","4,290,000"
1964,"1,500,000","430,000","562,000","318,000","103,000","287,000","1,080,000","1,660,000","1,780,000",713,"3,750","4,450,000"
1965,"1,550,000","466,000","671,000","404,000","94,000","295,000","915,000","1,820,000","1,980,000",780,"4,020","4,660,000"
1966,"1,550,000","485,000","725,000","446,000","71,000","248,000","559,000","2,140,000","2,220,000",794,"3,990","4,580,000"
1967,"1,030,000","438,000","614,000","369,000","301,000","145,000","346,000","1,760,000","1,840,000",840,"4,100","4,630,000"
1968,"1,300,000","472,000","633,000","378,000","366,000","218,000","361,000","1,710,000","1,910,000",908,"4,260","5,010,000"
1969,"1,580,000","522,000","726,000","453,000","119,000","182,000","342,000","1,940,000","2,060,000","1,050","4,650","5,520,000"
1970,"1,600,000","457,000","675,000","464,000","120,000","201,000","501,000","1,850,000","1,820,000","1,280","5,380","5,900,000"
1971,"1,440,000","404,000","685,000","363,000","147,000","170,000","441,000","1,830,000","1,890,000","1,150","4,620","5,940,000"
1972,"1,700,000","416,000","765,000","384,000","157,000","166,000","407,000","2,030,000","2,140,000","1,130","4,420","6,540,000"
1973,"1,700,000","441,000","808,000","422,000","187,000","172,000","335,000","2,210,000","2,220,000","1,310","4,810","6,920,000"
1974,"1,500,000","439,000","781,000","451,000","276,000","115,000","300,000","1,990,000","2,150,000","1,700","5,630","7,100,000"
1975,"1,310,000","335,000","547,000","308,000","129,000","156,000","444,000","1,390,000","1,470,000","1,410","4,290","6,740,000"
1976,"1,400,000","380,000","659,000","340,000","346,000","102,000","541,000","1,810,000","1,920,000","1,530","4,390","7,260,000"
1977,"1,360,000","410,000","675,000","350,000","361,000","42,000","543,000","1,980,000","2,070,000","1,470","3,960","7,420,000"
1978,"1,450,000","502,000","746,000","420,000","403,000","83,000","435,000","2,190,000","2,370,000","1,450","3,630","7,280,000"
1979,"1,520,000","604,000","948,000","498,000","204,000","74,000","252,000","2,160,000","2,430,000","2,030","4,570","7,350,000"
1980,"1,220,000","613,000","824,000","515,000","427,000","14,000","314,000","1,860,000","2,180,000","2,230","4,420","7,200,000"
1981,"1,540,000","592,000","816,000","483,000","331,000","24,000","485,000","2,030,000","2,270,000","1,860","3,330","7,690,000"
1982,"1,230,000","518,000","670,000","468,000","258,000","31,000","695,000","1,660,000","1,760,000","1,610","2,710","7,580,000"
1983,"1,210,000","449,000","634,000","402,000","460,000","81,000","692,000","1,800,000","2,010,000","1,690","2,760","7,610,000"
1984,"1,170,000","461,000","659,000","307,000","445,000","91,000","568,000","2,120,000","2,120,000","1,470","2,310","7,810,000"
1985,"1,060,000","503,000","636,000","372,000","378,000","38,000","320,000","1,980,000","2,140,000","1,480","2,240","7,990,000"
1986,"1,070,000","477,000","649,000","406,000","502,000","12,000","225,000","2,100,000","2,140,000","1,460","2,170","7,940,000"
1987,"1,130,000","498,000","716,000","415,000","469,000","9,000","113,000","2,130,000","2,200,000","1,820","2,610","8,240,000"
1988,"1,410,000","518,000","789,000","446,000","333,000","58,000","97,000","2,210,000","2,210,000","2,660","3,660","8,720,000"
1989,"1,480,000","548,000","761,000","480,000","300,000","130,000","107,000","2,200,000","2,180,000","2,890","3,800","9,040,000"
1990,"1,580,000","536,000","775,000","441,000","262,000","211,000","101,000","2,150,000","2,170,000","2,710","3,380","9,200,000"
1991,"1,580,000","533,000","667,000","418,000","289,000","271,000","132,000","2,050,000","2,090,000","2,410","2,890","9,330,000"
1992,"1,710,000","554,000","722,000","433,000","289,000","177,000","205,000","2,180,000","2,310,000","2,370","2,750","9,470,000"
1993,"1,790,000","543,000","748,000","460,000","343,000","217,000","153,000","2,360,000","2,510,000","2,020","2,280","9,490,000"
1994,"1,840,000","500,000","827,000","392,000","470,000","157,000","119,000","2,680,000","2,680,000","2,450","2,690","9,500,000"
1995,"1,930,000","443,000","874,000","352,000","429,000","217,000","163,000","2,530,000","2,540,000","3,050","3,260","10,000,000"
1996,"2,010,000","428,000","891,000","345,000","543,000","169,000","146,000","2,610,000","2,830,000","2,400","2,500","11,000,000"
1997,"2,070,000","498,000","967,000","396,000","632,000","92,900","314,000","2,790,000","2,940,000","2,360","2,400","11,500,000"
1998,"2,140,000","466,000","956,000","349,000","683,000","86,200","532,000","2,890,000","3,030,000","1,730","1,730","12,100,000"
1999,"1,890,000","381,000","949,000","230,000","837,000","25,200","566,000","2,980,000","3,130,000","1,670","1,640","12,800,000"
2000,"1,580,000","358,000","955,000","209,000","1,060,000","93,600","345,000","3,020,000","3,090,000","1,940","1,840","13,200,000"
2001,"1,630,000","316,000","833,000","172,000","991,000","22,500","957,000","2,620,000","2,510,000","1,690","1,560","13,700,000"
2002,"1,440,000","208,000","842,000","69,900","927,000","26,600","1,030,000","2,370,000","2,590,000","1,670","1,510","13,600,000"
2003,"1,250,000","207,000","737,000","53,300","882,000","93,300","656,000","2,290,000","2,430,000","1,880","1,670","13,800,000"
2004,"1,260,000","191,000","774,000","50,800","807,000","118,000","134,000","2,410,000","2,550,000","2,950","2,550","14,700,000"
2005,"1,210,000","183,000","769,000","47,200","1,000,000","39,500","63,500","2,270,000","2,420,000","3,830","3,200","15,000,000"
2006,"1,210,000","151,000","819,000","44,800","1,070,000","106,000","194,000","2,110,000","2,200,000","6,940","5,610","15,100,000"
2007,"1,270,000","162,000","772,000","46,000","829,000","51,100","130,000","2,140,000","2,270,000","7,230","5,680","15,500,000"
2008,"1,220,000","159,000","700,000","53,800","724,000","36,500","199,000","2,020,000","2,000,000","7,040","5,330","15,600,000"
2009,"1,110,000","138,000","639,000","46,400","664,000","80,800","434,000","1,650,000","1,580,000","5,320","4,040","16,100,000"
2010,"1,060,000","143,000","642,000","37,700","605,000","78,300","384,000","1,760,000","1,760,000","7,680","5,740","16,100,000"
2011,"992,000","153,000","649,000","37,300","670,000","40,400","409,000","1,760,000","1,730,000","8,950","6,490","16,100,000"
2012,"962,000","164,000","642,000","39,400","630,000","169,000","236,000","1,760,000","1,760,000","8,100","5,750","16,700,000"
2013,"993,000","166,000","630,000","46,900","734,000","111,000","259,000","1,830,000","1,760,000","7,490","5,240","18,400,000"
2014,"1,050,000","173,000","672,000","46,000","620,000","127,000","190,000","1,760,000","1,780,000","7,010","4,830","18,600,000"
2015,"1,090,000","166,000","640,000","48,800","687,000","86,200","209,000","1,810,000","1,820,000","5,650","3,880","19,200,000"
2016,"1,180,000","149,000","690,000","46,300","708,000","134,000","223,000","1,800,000","1,880,000","4,960","3,370","20,400,000"
2017,"1,040,000","146,000","702,000","40,100","813,000","94,200","265,000","1,800,000","1,870,000","6,290","4,180","19,900,000"
2018,"1,070,000","149,000","712,000","41,200","778,000","190,000","244,000","1,820,000","1,800,000","6,590","4,280","20,400,000"
