,,,,,,,,,,
,,,,,,,,,,
Year,Primary production,Secondary production,Imports,Exports,Government shipments,Stocks,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production
1975,"579,000","597,000","90,000","19,000","6,000","189,000","1,040,000",474,"1,440","3,440,000"
1976,"596,000","659,000","129,000","5,000",NA,"150,000","1,280,000",509,"1,460","3,690,000"
1977,"552,000","637,000","230,000","9,000",NA,"127,000","1,180,000",677,"1,820","3,410,000"
1978,"568,000","650,000","230,000","8,000",NA,"134,000","1,220,000",743,"1,860","3,460,000"
1979,"578,000","673,000","190,000","11,000",NA,"191,000","1,130,000","1,160","2,600","3,510,000"
1980,"548,000","581,000","85,000","164,000",NA,"172,000","906,000",937,"1,850","3,520,000"
1981,"498,000","578,000","100,000","23,300",NA,"195,000","977,000",805,"1,440","3,350,000"
1982,"512,000","521,000","95,000","55,600",NA,"171,000","1,110,000",562,949,"3,450,000"
1983,"515,000","452,000","180,000","24,400",NA,"159,000","1,140,000",478,782,"3,350,000"
1984,"396,000","586,000","162,000","16,600",NA,"142,000","1,140,000",564,885,"3,200,000"
1985,"487,000","570,000","134,000","27,300",NA,"178,000","1,130,000",421,638,"3,390,000"
1986,"366,000","575,000","140,000","12,600",NA,"104,000","1,150,000",485,721,"3,240,000"
1987,"374,000","658,000","190,000","10,000",NA,"110,000","1,200,000",791,"1,140","3,430,000"
1988,"392,000","691,000","150,000","14,000",NA,"105,000","1,230,000",818,"1,130","3,420,000"
1989,"396,000","842,000","120,000","34,000",NA,"98,000","1,330,000",869,"1,140","3,400,000"
1990,"404,000","874,000","90,900","64,000",NA,"112,000","1,300,000","1,010","1,260","3,370,000"
1991,"346,000","830,000","117,000","102,000",NA,"80,800","1,230,000",739,884,"3,260,000"
1992,"305,000","861,000","191,000","70,000",NA,"103,000","1,270,000",774,899,"3,200,000"
1993,"335,000","843,000","196,000","58,500","19,000","94,800","1,340,000",699,788,"2,900,000"
1994,"351,000","858,000","231,000","53,500","67,100","76,700","1,490,000",820,902,"2,800,000"
1995,"374,000","963,000","264,000","57,000","34,000","93,800","1,570,000",933,998,"2,710,000"
1996,"326,000","1,030,000","268,000","61,000","39,000","79,900","1,630,000","1,080","1,120","2,920,000"
1997,"343,000","1,040,000","265,000","53,000","26,000","101,000","1,610,000","1,030","1,050","3,100,000"
1998,"337,000","1,060,000","310,000","40,000","50,000","89,000","1,690,000",999,999,"3,060,000"
1999,"350,000","1,060,000","323,000","37,000","61,000","91,000","1,760,000",963,942,"3,080,000"
2000,"341,000","1,080,000","365,000","48,600","32,000","125,000","1,740,000",961,910,"3,200,000"
2001,"290,000","1,090,000","284,000","38,100","41,000","100,000","1,690,000",962,886,"3,120,000"
2002,"262,000","1,100,000","218,000","43,400","6,000","111,000","1,530,000",961,871,"2,850,000"
2003,"245,000","1,140,000","183,000","123,000","60,000","84,600","1,490,000",965,855,"3,200,000"
2004,"148,000","1,130,000","208,000","82,600","52,600","59,000","1,470,000","1,220","1,050","3,150,000"
2005,"143,000","1,150,000","310,000","64,600","29,000","46,800","1,460,000","1,350","1,130","3,470,000"
2006,"153,000","1,160,000","343,000","68,500","24,000","56,000","1,510,000","1,710","1,380","3,630,000"
2007,"123,000","1,180,000","267,000","56,500",0,"51,600","1,460,000","2,730","2,150","3,710,000"
2008,"135,000","1,140,000","314,000","74,800",0,"72,500","1,440,000","2,650","2,010","3,880,000"
2009,"103,000","1,110,000","252,000","82,000",0,"63,300","1,320,000","1,920","1,460","3,780,000"
2010,"115,000","1,140,000","273,000","85,000",0,"64,800","1,380,000","2,400","1,790","4,160,000"
2011,"118,000","1,130,000","316,000","47,200",0,"48,300","1,470,000","2,690","1,950","4,750,000"
2012,"111,000","1,110,000","349,000","47,000",0,"71,700","1,520,000","2,520","1,790","5,080,000"
2013,"114,000","1,160,000","485,000","41,600",0,"61,065","1,720,000","2,420","1,770","4,930,000"
2014,0,"1,060,000","593,000","55,300",0,"56,400","1,600,000","2,340","1,610","4,630,000"
2015,0,"1,050,000","521,000","55,700",0,"60,100","1,520,000","2,010","1,380","4,940,000"
2016,0,"1,110,000","533,000","42,700",0,"60,300","1,600,000","2,080","1,410","4,790,000"
2017,0,"1,140,000","658,000","23,900",0,"64,400","1,770,000","2,520","1,680","4,610,000"
2018,0,"1,170,000","563,000","67,200",0,"66,800","1,670,000","2,450","1,590","4,560,000"
2019,0,"1,180,000","501,000","25,600",0,"69,500","1,660,000","2,200","1,400","4,720,000"
